City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,masterton,-40.9597,175.6575,7.16,93,21,0.92,NZ,1682532152
243,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,2.06,EC,1682531549
244,yeroham,30.9872,34.9314,18.18,40,0,4.66,IL,1682532153
245,ust-nera,64.5667,143.2,-12.9,98,57,1.24,RU,1682531662
246,dekalb,33.7504,-84.2333,15.18,79,100,0.0,US,1682532154
247,mabaruma,8.2,-59.7833,26.39,91,100,1.93,GY,1682532154
248,boa vista,2.8197,-60.6733,24.99,88,100,4.12,BR,1682532067
249,lorengau,-2.0226,147.2712,27.22,81,57,2.54,PG,1682532155
250,lib,8.3122,167.3766,27.8,80,64,8.51,MH,1682532155
251,dubbo,-32.25,148.6167,13.07,82,100,3.6,AU,1682532155
252,singa,13.15,33.9333,35.55,25,92,4.54,SD,1682532156
253,enewetak,11.3474,162.3373,27.14,81,32,8.91,MH,1682531648
254,kailua-kona,19.6406,-155.9956,24.98,90,75,2.06,US,1682532156
255,qaqortoq,60.7167,-46.0333,1.85,82,87,1.29,GL,1682531663
256,montenero di bisaccia,41.9651,14.7814,12.4,71,3,2.22,IT,1682531839
257,ghat,24.9647,10.1728,30.98,15,13,2.91,LY,1682531744
258,vuktyl,63.8567,57.3094,0.11,95,100,2.89,RU,1682532157
259,ketchikan,55.3422,-131.6461,5.99,86,99,4.78,US,1682532158
260,arraial do cabo,-22.9661,-42.0278,28.98,69,20,9.26,BR,1682531640
261,posto fiscal rolim de moura,-13.0833,-62.2667,33.53,47,64,0.66,BR,1682531737
262,pathein,16.7833,94.7333,26.54,80,0,2.88,MM,1682532159
263,callao,-12.0667,-77.15,26.16,69,0,7.2,PE,1682531706
264,namibe,-15.1961,12.1522,23.97,79,69,2.09,AO,1682531685
265,ilebo,-4.3167,20.5833,23.74,87,94,1.07,CD,1682532160
266,ruidoso,33.3317,-105.673,13.92,23,0,10.29,US,1682532160
267,port blair,11.6667,92.75,28.69,76,97,3.5,IN,1682532160
268,abu jibeha,11.4562,31.2285,32.89,31,61,0.98,SD,1682532161
269,dakhla,23.6848,-15.958,21.01,73,70,6.69,EH,1682532161
270,emiliano zapata,18.8333,-99.1833,29.81,24,100,2.64,MX,1682532161
271,granbury,32.4421,-97.7942,18.67,94,100,4.63,US,1682531894
272,merritt island,28.5392,-80.672,29.48,73,75,5.14,US,1682531774
273,formosa do rio preto,-11.0483,-45.1931,33.52,26,98,2.29,BR,1682532163
274,aberystwyth,52.4155,-4.0829,13.73,71,95,1.44,GB,1682532163
275,buka,40.8108,69.1986,19.15,32,0,2.04,UZ,1682532050
276,jackson,42.4165,-122.8345,20.58,51,0,1.54,US,1682531439
277,palikir - national government center,6.9248,158.1611,27.64,80,88,7.59,FM,1682532164
278,tadine,-21.55,167.8833,24.22,82,100,2.62,NC,1682531740
279,rawlins,41.7911,-107.2387,10.2,54,72,4.74,US,1682532004
280,anloga,5.7947,0.8973,28.83,78,99,6.32,GH,1682532016
281,vojnik,46.2933,15.3033,13.21,73,72,1.68,SI,1682532165
282,port saint john's,-31.6229,29.5448,22.31,91,1,4.64,ZA,1682532043
283,merizo village,13.2658,144.6691,27.31,92,22,8.15,GU,1682532165
284,berdigestyakh,62.0989,126.6992,-5.24,95,96,2.27,RU,1682531710
285,tamiahua,21.2667,-97.45,25.55,87,100,2.59,MX,1682532166
286,cabo san lucas,22.8909,-109.9124,28.67,65,79,0.89,MX,1682531714
287,erdenet,49.0333,104.0833,-7.88,59,65,2.92,MN,1682532166
288,mbarara,-0.608,30.65,17.96,92,67,1.18,UG,1682532166
289,man,7.4125,-7.5538,25.13,86,91,1.82,CI,1682532167
290,mega,4.05,38.3,16.04,83,100,1.87,ET,1682532167
291,leava,-14.3,-178.1667,28.26,75,95,7.5,WF,1682532168
292,puerto armuelles,8.2833,-82.8667,31.99,65,10,3.28,PA,1682532168
293,atafu village,-8.5421,-172.5159,28.36,76,100,5.66,TK,1682531643
294,vilyuchinsk,52.9306,158.4028,-2.85,81,2,4.14,RU,1682531762
295,nantucket,41.2835,-70.0995,11.08,80,100,4.12,US,1682531782
296,brisas de zicatela,15.8369,-97.0419,29.95,57,47,3.94,MX,1682532169
297,richmond,37.5538,-77.4603,22.35,43,100,1.54,US,1682532044
298,yarmouth,41.7057,-70.2286,11.65,77,100,4.12,US,1682532044
299,arica,-18.475,-70.3042,26.75,57,0,5.66,CL,1682531406
300,hadibu,12.65,54.0333,28.54,70,5,1.15,YE,1682531759
301,toliara,-23.35,43.6667,22.62,67,0,7.11,MG,1682532170
302,bayanaul,50.7889,75.6956,12.93,43,37,2.54,KZ,1682532171
303,hasaki,35.7333,140.8333,13.45,58,99,7.26,JP,1682531655
304,kuldiga,56.974,21.9572,5.83,83,100,3.35,LV,1682532171
305,guerrero negro,27.9769,-114.0611,18.38,59,38,6.1,MX,1682531671
306,hayes,51.5158,-0.4234,12.18,58,75,4.12,GB,1682532172
307,sicuani,-14.2694,-71.2261,17.13,36,28,3.02,PE,1682532172
308,abalak,58.1286,68.5944,15.7,53,100,4.84,RU,1682531761
309,sinjai,-5.1241,120.253,24.24,90,100,1.84,ID,1682532172
310,great bend,38.3645,-98.7648,13.35,69,20,7.72,US,1682532173
311,oshakati,-17.7833,15.6833,30.01,26,23,3.2,NA,1682532173
312,kokkola,63.8385,23.1307,7.09,93,75,2.06,FI,1682532173
313,alofi,-19.0595,-169.9187,23.94,94,26,2.06,NU,1682531752
314,al bawiti,28.3492,28.8659,25.95,14,0,5.27,EG,1682531991
315,northwest harborcreek,42.1494,-79.9946,9.85,68,0,4.12,US,1682532174
316,brugnera,45.9044,12.5264,15.52,67,39,0.89,IT,1682532174
317,morden,49.1919,-98.1014,5.05,75,100,6.17,CA,1682532175
318,lihue,21.9789,-159.3672,22.58,88,75,2.57,US,1682531677
319,port alfred,-33.5906,26.891,21.21,93,51,6.97,ZA,1682532175
320,xiangyang,32.0422,112.1448,16.42,72,93,6.46,CN,1682531905
321,lebyazh'ye,55.2689,66.4947,18.68,32,97,5.76,RU,1682532176
322,ulladulla,-35.35,150.4667,14.64,82,55,2.69,AU,1682532176
323,bardai,11.65,7.2333,32.79,30,95,4.09,NG,1682532176
324,marka,1.7159,44.7717,28.71,75,100,5.08,SO,1682532177
325,bailesti,44.0167,23.35,12.33,58,100,6.03,RO,1682532177
326,belyayevka,51.3974,56.4096,16.91,49,100,2.21,RU,1682532177
327,amungan,15.3652,119.9582,26.43,77,70,2.04,PH,1682531634
328,okhotsk,59.3833,143.3,-4.09,93,79,2.96,RU,1682532178
329,bhikangaon,21.8667,75.95,27.43,45,66,3.0,IN,1682532178
330,manzini,-26.25,31.5,21.62,87,44,1.11,SZ,1682532178
331,kuusamo,65.9667,29.1833,4.02,65,0,3.09,FI,1682532138
332,crescent city,41.756,-124.2018,20.27,82,0,3.6,US,1682532179
333,haiku-pauwela,20.9219,-156.3051,23.36,83,40,3.09,US,1682531688
334,krsko,45.9591,15.4917,13.9,74,0,2.06,SI,1682532179
335,saint-philippe,-21.3585,55.7679,23.77,76,88,3.8,RE,1682531667
336,chegdomyn,51.1167,133.0167,-6.26,96,27,1.22,RU,1682532180
337,fada,9.5667,8.3,22.32,84,100,3.15,NG,1682532180
338,markala,13.7021,-6.0659,37.24,7,100,2.19,ML,1682532181
339,selfoss,63.9331,-20.9971,2.8,93,100,3.52,IS,1682531656
340,mahibadhoo,3.7833,72.9667,29.26,73,89,5.19,MV,1682532182
341,gospic,44.5461,15.3747,10.83,73,86,1.58,HR,1682532182
342,port hedland,-20.3167,118.5667,25.03,88,100,2.06,AU,1682531764
343,anadyr,64.75,177.4833,-13.72,72,0,5.0,RU,1682531726
344,la passe,45.5549,-0.8967,16.13,91,100,2.06,FR,1682531720
345,taksimo,56.3444,114.8794,-3.31,76,60,0.95,RU,1682532184
346,hamilton,39.1834,-84.5333,16.91,55,0,3.6,US,1682531955
347,namtsy,62.7161,129.6658,-9.64,99,81,1.12,RU,1682531762
348,argo,37.6333,22.7333,18.21,57,19,3.05,GR,1682531750
349,port augusta,-32.5,137.7667,21.25,52,86,2.57,AU,1682531885
350,taltal,-25.4,-70.4833,19.64,73,5,2.41,CL,1682531737
351,simanggang,1.2472,111.4528,25.01,94,100,0.0,MY,1682532186
352,severo-yeniseyskiy,60.3725,93.0408,-4.42,96,100,2.48,RU,1682531765
353,likasi,-10.9814,26.7333,16.48,82,72,1.52,CD,1682532025
354,puerto wilches,7.3483,-73.896,31.31,60,77,0.38,CO,1682532186
355,acajutla,13.5928,-89.8275,30.31,63,54,3.8,SV,1682532187
356,tabou,4.423,-7.3528,26.35,82,96,2.71,CI,1682532187
357,carnarvon,-24.8667,113.6333,19.81,68,0,7.26,AU,1682531640
358,saldanha,-33.0117,17.9442,17.03,74,100,3.15,ZA,1682531996
359,la'ie,21.6477,-157.9253,23.98,85,98,4.97,US,1682531516
360,concepcion,-36.827,-73.0498,20.89,60,0,2.57,CL,1682532011
361,puerto leguizamo,-0.1934,-74.7819,25.61,87,93,1.62,CO,1682532189
362,falam,22.9167,93.6833,16.24,47,26,1.7,MM,1682532189
363,khash,28.2211,61.2158,20.73,27,70,2.82,IR,1682532190
364,buon ma thuot,12.6667,108.05,22.05,83,77,2.59,VN,1682532072
